,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
31,2023-06-26 01:25:17+00:00,17.4,72,12.3,17.2,0.0,,985.2,22,0
41,2023-06-26 01:40:40+00:00,17.1,74,12.4,16.9,0.0,0.0,985.0,22,1
40,2023-06-26 01:50:46+00:00,17.1,74,12.4,16.9,0.0,,985.0,22,1
42,2023-06-26 01:31:37+00:00,17.1,74,12.4,16.9,0.0,0.0,985.0,22,1
38,2023-06-26 02:10:56+00:00,17.1,74,12.4,16.9,0.0,0.0,985.0,22,1
37,2023-06-26 02:22:38+00:00,17.1,74,12.4,16.9,0.0,0.0,985.0,22,2
39,2023-06-26 02:00:50+00:00,17.1,74,12.4,16.9,0.0,0.0,985.0,22,1
43,2023-06-26 02:31:07+00:00,,76,12.0,16.0,0.0,,985.1,22,2
44,2023-06-26 02:41:13+00:00,16.2,76,12.0,16.0,0.0,0.0,985.1,22,2
45,2023-06-26 02:51:17+00:00,16.2,76,12.0,16.0,0.0,0.0,985.1,22,2
46,2023-06-26 03:01:23+00:00,16.2,76,12.0,16.0,0.0,0.0,985.1,22,2
47,2023-06-26 03:11:28+00:00,16.2,76,12.0,16.0,0.0,,985.1,22,2
48,2023-06-26 03:21:33+00:00,16.2,76,12.0,16.0,,0.0,985.1,22,2
53,2023-06-26 03:41:43+00:00,16.2,76,12.0,16.1,0.0,,984.7,22,2
54,2023-06-26 04:04:41+00:00,16.2,76,12.0,16.1,0.0,0.0,984.7,22,4
51,2023-06-26 03:31:38+00:00,16.2,76,12.0,16.1,0.0,0.0,984.7,22,2
50,2023-06-26 04:12:02+00:00,16.2,76,12.0,16.1,0.0,0.0,984.7,22,4
49,2023-06-26 04:23:04+00:00,,76,12.0,16.1,0.0,,984.7,22,5
52,2023-06-26 03:55:02+00:00,16.2,76,12.0,16.1,0.0,0.0,984.7,22,3
55,2023-06-26 05:22:53+00:00,15.9,80,12.4,15.8,0.0,0.0,984.2,22,11
56,2023-06-26 05:15:39+00:00,15.9,80,12.4,15.8,0.0,0.0,984.2,22,11
57,2023-06-26 05:03:27+00:00,15.9,80,12.4,15.8,0.0,0.0,984.2,22,10
58,2023-06-26 04:52:53+00:00,15.9,80,12.4,15.8,0.0,0.0,984.2,22,9
59,2023-06-26 04:42:23+00:00,15.9,80,12.4,15.8,0.0,0.0,984.2,22,6
60,2023-06-26 04:32:22+00:00,15.9,80,12.4,15.8,0.0,0.0,984.2,22,6
65,2023-06-26 06:15:36+00:00,16.2,80,12.7,16.3,0.0,0.0,984.0,22,12
61,2023-06-26 05:35:24+00:00,16.2,80,12.7,16.3,0.0,0.0,984.0,22,12
62,2023-06-26 05:43:11+00:00,16.2,80,12.7,16.3,0.0,0.0,984.0,22,14
63,2023-06-26 05:54:01+00:00,16.2,80,12.7,16.3,0.0,0.0,984.0,22,13
64,2023-06-26 06:03:24+00:00,16.2,80,12.7,16.3,0.0,0.0,984.0,22,15
66,2023-06-26 06:24:53+00:00,16.2,80,12.7,16.3,0.0,0.0,984.0,22,14
71,2023-06-26 06:44:04+00:00,18.4,76,14.0,18.9,0.0,0.0,984.3,22,19
70,2023-06-26 06:54:10+00:00,18.4,76,14.0,18.9,0.0,0.0,984.3,22,18
72,2023-06-26 07:05:18+00:00,18.4,76,14.0,18.9,0.0,0.0,984.3,22,20
68,2023-06-26 07:14:23+00:00,18.4,76,14.0,18.9,0.0,0.0,984.3,22,19
69,2023-06-26 06:33:51+00:00,18.4,76,14.0,18.9,0.0,0.0,984.3,22,17
67,2023-06-26 07:24:32+00:00,18.4,76,14.0,18.9,0.0,,984.3,22,21
73,2023-06-26 08:25:09+00:00,21.0,65,14.2,21.4,0.0,0.0,984.5,22,22
74,2023-06-26 08:04:58+00:00,21.0,65,14.2,21.4,0.0,0.0,984.5,22,22
75,2023-06-26 08:15:03+00:00,21.0,65,14.2,21.4,0.0,0.0,984.5,22,22
76,2023-06-26 07:34:52+00:00,21.0,65,14.2,21.4,0.0,0.0,984.5,22,20
77,2023-06-26 07:44:45+00:00,21.0,65,14.2,21.4,0.0,0.0,984.5,22,19
78,2023-06-26 07:54:53+00:00,21.0,65,14.2,21.4,0.0,0.0,984.5,22,22
79,2023-06-26 08:35:16+00:00,22.9,61,14.9,23.5,0.0,0.0,985.3,22,22
80,2023-06-26 08:45:22+00:00,22.9,61,14.9,23.5,0.0,0.0,985.3,22,20
81,2023-06-26 08:55:31+00:00,22.9,61,14.9,23.5,0.0,0.0,985.3,22,21
82,2023-06-26 09:05:38+00:00,,61,14.9,23.5,0.0,,985.3,22,22
83,2023-06-26 09:15:43+00:00,22.9,61,14.9,23.5,0.0,,985.3,22,22
84,2023-06-26 09:25:49+00:00,22.9,61,14.9,23.5,0.0,0.0,985.3,22,22
89,2023-06-26 10:24:51+00:00,24.5,54,14.6,25.5,0.0,0.0,985.3,22,20
87,2023-06-26 10:02:33+00:00,24.5,54,14.6,25.5,,0.0,985.3,22,20
88,2023-06-26 10:12:31+00:00,24.5,54,14.6,25.5,0.0,0.0,985.3,22,21
85,2023-06-26 09:35:54+00:00,24.5,54,14.6,25.5,0.0,0.0,985.3,22,22
86,2023-06-26 09:53:08+00:00,24.5,54,14.6,25.5,0.0,0.0,985.3,22,18
90,2023-06-26 11:15:47+00:00,25.9,51,14.9,28.4,0.0,0.0,984.8,22,14
91,2023-06-26 11:03:15+00:00,25.9,51,14.9,28.4,0.0,,984.8,22,19
92,2023-06-26 10:44:37+00:00,25.9,51,14.9,28.4,0.0,0.0,984.8,22,16
93,2023-06-26 10:34:42+00:00,25.9,51,14.9,28.4,0.0,0.0,984.8,22,19
94,2023-06-26 10:49:49+00:00,25.9,51,14.9,28.4,,0.0,984.8,22,17
97,2023-06-26 18:04:07+00:00,27.5,39,12.4,26.5,0.0,0.0,982.7,22,2
95,2023-06-26 17:52:24+00:00,27.5,39,12.4,26.5,0.0,,982.7,22,1
96,2023-06-26 18:00:28+00:00,27.5,39,12.4,26.5,0.0,0.0,982.7,22,0
98,2023-06-26 18:10:23+00:00,27.5,39,12.4,26.5,0.0,0.0,982.7,22,2
99,2023-06-26 18:15:45+00:00,27.5,39,12.4,26.5,0.0,0.0,982.7,22,3
100,2023-06-26 18:18:50+00:00,27.5,39,12.4,26.5,0.0,0.0,982.7,22,4
101,2023-06-26 18:24:41+00:00,27.5,39,12.4,26.5,,0.0,982.7,22,3
109,2023-06-26 18:43:00+00:00,26.8,41,12.4,25.8,0.0,,982.5,22,5
108,2023-06-26 18:46:27+00:00,,41,12.4,25.8,0.0,0.0,982.5,22,4
111,2023-06-26 18:59:49+00:00,26.8,41,12.4,25.8,0.0,0.0,982.5,22,3
110,2023-06-26 18:37:14+00:00,26.8,41,12.4,25.8,0.0,,982.5,22,4
112,2023-06-26 18:34:14+00:00,,41,12.4,25.8,0.0,0.0,982.5,22,5
107,2023-06-26 18:54:57+00:00,26.8,41,12.4,25.8,0.0,0.0,982.5,22,2
105,2023-06-26 19:05:00+00:00,26.8,41,12.4,25.8,0.0,0.0,982.5,22,8
102,2023-06-26 19:07:43+00:00,26.8,41,12.4,25.8,0.0,0.0,982.5,22,7
106,2023-06-26 19:27:50+00:00,26.8,41,12.4,25.8,0.0,,982.5,22,6
104,2023-06-26 19:14:50+00:00,26.8,41,12.4,25.8,0.0,0.0,982.5,22,5
103,2023-06-26 19:23:28+00:00,,41,12.4,25.8,0.0,0.0,982.5,22,5
113,2023-06-26 20:24:32+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,3
114,2023-06-26 20:14:14+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,2
115,2023-06-26 20:07:52+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,5
117,2023-06-26 19:33:39+00:00,,45,12.9,25.5,0.0,0.0,982.6,22,8
118,2023-06-26 19:53:51+00:00,25.8,45,12.9,25.5,0.0,,982.6,22,5
119,2023-06-26 19:48:20+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,7
120,2023-06-26 19:45:38+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,6
121,2023-06-26 19:38:04+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,7
122,2023-06-26 19:57:51+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,7
116,2023-06-26 20:03:58+00:00,25.8,45,12.9,25.5,0.0,0.0,982.6,22,7
129,2023-06-26 20:35:29+00:00,23.5,55,13.9,24.5,0.0,0.0,982.9,22,2
127,2023-06-26 20:57:49+00:00,23.5,55,13.9,24.5,0.0,0.0,982.9,22,0
128,2023-06-26 20:44:22+00:00,23.5,55,13.9,24.5,0.0,0.0,982.9,22,1
126,2023-06-26 20:54:27+00:00,,55,13.9,24.5,0.0,0.0,982.9,22,1
124,2023-06-26 21:04:33+00:00,23.5,55,13.9,24.5,0.0,0.0,982.9,22,0
123,2023-06-26 21:24:44+00:00,23.5,55,13.9,24.5,0.0,0.0,982.9,22,0
125,2023-06-26 21:14:39+00:00,23.5,55,13.9,24.5,0.0,,982.9,22,0
134,2023-06-26 21:34:49+00:00,,65,14.7,22.8,0.0,0.0,982.9,22,0
133,2023-06-26 21:44:55+00:00,21.5,65,14.7,22.8,0.0,0.0,982.9,22,1
135,2023-06-26 21:55:00+00:00,21.5,65,14.7,22.8,0.0,,982.9,22,0
131,2023-06-26 22:15:10+00:00,21.5,65,14.7,22.8,,0.0,982.9,22,0
130,2023-06-26 22:25:15+00:00,21.5,65,14.7,22.8,0.0,0.0,982.9,22,0
132,2023-06-26 22:05:05+00:00,21.5,65,14.7,22.8,0.0,0.0,982.9,22,0
136,2023-06-26 22:35:21+00:00,18.2,82,15.1,19.4,0.0,0.0,982.4,22,0
137,2023-06-26 22:55:30+00:00,18.2,82,15.1,19.4,0.0,0.0,982.4,22,0
138,2023-06-26 23:05:35+00:00,18.2,82,15.1,19.4,0.0,0.0,982.4,22,0
139,2023-06-26 23:15:41+00:00,18.2,82,15.1,19.4,0.0,0.0,982.4,22,0
140,2023-06-26 23:25:46+00:00,18.2,82,15.1,19.4,0.0,0.0,982.4,22,0
141,2023-06-26 22:45:26+00:00,18.2,82,15.1,19.4,0.0,0.0,982.4,22,0
146,2023-06-27 00:06:07+00:00,17.5,83,14.6,18.7,0.0,0.0,982.3,22,0
147,2023-06-27 00:16:13+00:00,17.5,83,14.6,18.7,0.0,0.0,982.3,22,0
145,2023-06-26 23:56:02+00:00,17.5,83,14.6,18.7,0.0,0.0,982.3,22,0
143,2023-06-26 23:35:51+00:00,17.5,83,14.6,18.7,0.0,0.0,982.3,22,0
144,2023-06-26 23:45:56+00:00,17.5,83,14.6,18.7,,0.0,982.3,22,0
142,2023-06-27 00:26:18+00:00,17.5,83,14.6,18.7,0.0,0.0,982.3,22,0
148,2023-06-27 01:16:43+00:00,18.0,79,14.3,18.9,,0.0,982.3,22,0
149,2023-06-27 01:06:39+00:00,18.0,79,14.3,18.9,0.0,0.0,982.3,22,0
150,2023-06-27 00:56:34+00:00,18.0,79,14.3,18.9,0.0,0.0,982.3,22,0
151,2023-06-27 00:46:28+00:00,18.0,79,14.3,18.9,0.0,,982.3,22,0
152,2023-06-27 00:36:23+00:00,18.0,79,14.3,18.9,0.0,0.0,982.3,22,0
159,2023-06-27 02:20:59+00:00,,81,15.1,19.5,0.0,0.0,982.3,22,0
158,2023-06-27 02:10:54+00:00,18.4,81,15.1,19.5,0.0,0.0,982.3,22,0
157,2023-06-27 02:00:49+00:00,,81,15.1,19.5,0.0,,982.3,22,0
154,2023-06-27 01:31:35+00:00,18.4,81,15.1,19.5,0.0,0.0,982.3,22,0
155,2023-06-27 01:40:38+00:00,18.4,81,15.1,19.5,0.0,0.0,982.3,22,0
153,2023-06-27 01:30:34+00:00,18.4,81,15.1,19.5,0.0,,982.3,22,0
156,2023-06-27 01:50:43+00:00,18.4,81,15.1,19.5,0.0,0.0,982.3,22,0
164,2023-06-27 02:31:04+00:00,18.4,82,15.2,19.5,5.0,0.0,982.4,22,0
165,2023-06-27 03:01:19+00:00,18.4,82,15.2,19.5,5.0,,982.4,22,0
163,2023-06-27 02:51:16+00:00,18.4,82,15.2,19.5,5.0,0.0,982.4,22,0
162,2023-06-27 02:41:09+00:00,,82,15.2,19.5,5.0,,982.4,22,0
161,2023-06-27 03:11:24+00:00,,82,15.2,19.5,5.0,0.0,982.4,22,0
160,2023-06-27 03:21:30+00:00,18.4,82,15.2,19.5,5.0,0.0,982.4,22,0
166,2023-06-27 04:11:59+00:00,,83,15.3,19.4,11.0,,982.2,22,3
167,2023-06-27 04:22:07+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,5
168,2023-06-27 04:20:05+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,5
169,2023-06-27 04:07:24+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,3
170,2023-06-27 04:00:49+00:00,18.2,83,15.3,19.4,,0.0,982.2,22,2
171,2023-06-27 03:51:45+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,0
172,2023-06-27 03:41:40+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,0
173,2023-06-27 03:31:35+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,0
174,2023-06-27 04:01:52+00:00,18.2,83,15.3,19.4,11.0,0.0,982.2,22,2
183,2023-06-27 05:27:46+00:00,,74,14.5,19.6,16.0,0.0,981.7,22,17
182,2023-06-27 05:24:18+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,15
181,2023-06-27 05:12:44+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,11
179,2023-06-27 04:58:45+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,11
180,2023-06-27 05:02:38+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,11
177,2023-06-27 04:49:14+00:00,19.3,74,14.5,19.6,16.0,,981.7,22,8
176,2023-06-27 04:42:45+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,6
175,2023-06-27 04:32:12+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,5
178,2023-06-27 04:53:55+00:00,19.3,74,14.5,19.6,16.0,0.0,981.7,22,9
184,2023-06-27 06:23:33+00:00,19.0,81,15.6,19.9,41.0,0.0,982.1,22,22
185,2023-06-27 06:03:24+00:00,19.0,81,15.6,19.9,41.0,0.0,982.1,22,22
186,2023-06-27 06:13:28+00:00,19.0,81,15.6,19.9,41.0,0.0,982.1,22,22
187,2023-06-27 05:34:19+00:00,19.0,81,15.6,19.9,41.0,0.0,982.1,22,22
188,2023-06-27 05:43:13+00:00,19.0,81,15.6,19.9,41.0,0.0,982.1,22,22
189,2023-06-27 05:53:18+00:00,19.0,81,15.6,19.9,41.0,,982.1,22,22
197,2023-06-27 06:40:18+00:00,20.7,83,17.7,22.7,65.0,0.0,982.5,22,20
199,2023-06-27 06:55:26+00:00,20.7,83,17.7,22.7,65.0,,982.5,22,18
198,2023-06-27 06:33:38+00:00,20.7,83,17.7,22.7,65.0,,982.5,22,22
196,2023-06-27 06:45:37+00:00,20.7,83,17.7,22.7,65.0,0.0,982.5,22,20
195,2023-06-27 06:50:50+00:00,20.7,83,17.7,22.7,65.0,0.0,982.5,22,20
193,2023-06-27 06:56:22+00:00,20.7,83,17.7,22.7,65.0,0.0,982.5,22,19
192,2023-06-27 07:14:05+00:00,20.7,83,17.7,22.7,,0.0,982.5,22,18
191,2023-06-27 07:17:19+00:00,20.7,83,17.7,22.7,65.0,0.0,982.5,22,19
190,2023-06-27 07:25:09+00:00,,83,17.7,22.7,65.0,,982.5,22,19
194,2023-06-27 07:04:00+00:00,20.7,83,17.7,22.7,65.0,0.0,982.5,22,18
209,2023-06-27 07:49:48+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,22
200,2023-06-27 08:27:46+00:00,,76,17.4,23.9,90.0,0.0,982.4,22,20
201,2023-06-27 08:14:46+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,21
202,2023-06-27 08:09:41+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,22
203,2023-06-27 08:04:41+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,22
204,2023-06-27 07:54:36+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,22
205,2023-06-27 07:44:28+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,21
206,2023-06-27 07:36:14+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,21
207,2023-06-27 07:34:22+00:00,21.8,76,17.4,23.9,,0.0,982.4,22,22
208,2023-06-27 07:30:36+00:00,21.8,76,17.4,23.9,90.0,0.0,982.4,22,21
218,2023-06-27 08:39:48+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,18
217,2023-06-27 08:45:19+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,17
220,2023-06-27 09:03:38+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,20
219,2023-06-27 08:36:37+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,19
216,2023-06-27 08:51:05+00:00,23.2,72,17.9,25.5,91.0,,983.6,22,16
215,2023-06-27 08:58:00+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,17
214,2023-06-27 09:07:16+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,19
213,2023-06-27 09:13:10+00:00,,72,17.9,25.5,91.0,0.0,983.6,22,18
212,2023-06-27 09:18:22+00:00,23.2,72,17.9,25.5,91.0,,983.6,22,20
211,2023-06-27 09:28:23+00:00,23.2,72,17.9,25.5,91.0,0.0,983.6,22,21
210,2023-06-27 09:29:36+00:00,23.2,72,17.9,25.5,91.0,,983.6,22,20
229,2023-06-27 09:57:48+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,21
228,2023-06-27 09:43:39+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,22
227,2023-06-27 09:45:50+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,20
226,2023-06-27 09:35:44+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,21
224,2023-06-27 10:06:04+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,20
223,2023-06-27 10:26:15+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,19
222,2023-06-27 10:10:35+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,19
221,2023-06-27 10:16:10+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,19
225,2023-06-27 09:49:02+00:00,21.4,77,17.2,23.3,93.0,1.7,983.9,22,21
236,2023-06-27 11:06:42+00:00,20.0,84,17.2,21.2,94.0,,983.8,22,20
238,2023-06-27 11:26:52+00:00,,84,17.2,21.2,94.0,0.8,983.8,22,20
237,2023-06-27 11:16:47+00:00,20.0,84,17.2,21.2,94.0,0.8,983.8,22,20
235,2023-06-27 11:01:22+00:00,20.0,84,17.2,21.2,94.0,,983.8,22,20
232,2023-06-27 10:46:29+00:00,20.0,84,17.2,21.2,94.0,0.8,983.8,22,22
233,2023-06-27 10:52:14+00:00,20.0,84,17.2,21.2,94.0,0.8,983.8,22,20
231,2023-06-27 10:42:33+00:00,20.0,84,17.2,21.2,94.0,0.8,983.8,22,22
230,2023-06-27 10:36:20+00:00,,84,17.2,21.2,94.0,,983.8,22,19
234,2023-06-27 10:56:35+00:00,20.0,84,17.2,21.2,94.0,0.8,983.8,22,20
239,2023-06-27 12:17:18+00:00,20.6,80,17.1,22.6,96.0,0.0,984.0,22,20
240,2023-06-27 12:07:13+00:00,,80,17.1,22.6,96.0,0.0,984.0,22,20
241,2023-06-27 12:27:23+00:00,20.6,80,17.1,22.6,96.0,0.0,984.0,22,20
242,2023-06-27 11:47:03+00:00,20.6,80,17.1,22.6,96.0,0.0,984.0,22,20
243,2023-06-27 11:36:57+00:00,20.6,80,17.1,22.6,96.0,0.0,984.0,22,20
244,2023-06-27 11:57:08+00:00,20.6,80,17.1,22.6,96.0,0.0,984.0,22,20
251,2023-06-27 12:37:30+00:00,20.0,78,16.0,21.2,98.0,,984.3,22,18
253,2023-06-27 13:01:22+00:00,,78,16.0,21.2,98.0,0.2,984.3,22,16
252,2023-06-27 12:31:32+00:00,20.0,78,16.0,21.2,98.0,0.2,984.3,22,19
249,2023-06-27 12:57:40+00:00,,78,16.0,21.2,98.0,0.2,984.3,22,18
250,2023-06-27 12:47:35+00:00,20.0,78,16.0,21.2,98.0,0.2,984.3,22,18
248,2023-06-27 13:22:00+00:00,20.0,78,16.0,21.2,98.0,0.2,984.3,22,19
247,2023-06-27 13:07:51+00:00,20.0,78,16.0,21.2,98.0,,984.3,22,18
246,2023-06-27 13:17:56+00:00,20.0,78,16.0,21.2,98.0,0.2,984.3,22,18
245,2023-06-27 13:28:03+00:00,,78,16.0,21.2,98.0,0.2,984.3,22,19
259,2023-06-27 14:28:33+00:00,,86,16.3,19.8,100.0,23.2,985.5,22,19
257,2023-06-27 14:08:24+00:00,18.6,86,16.3,19.8,100.0,23.2,985.5,22,19
258,2023-06-27 14:18:28+00:00,18.6,86,16.3,19.8,100.0,23.2,985.5,22,19
255,2023-06-27 13:48:13+00:00,18.6,86,16.3,19.8,100.0,23.2,985.5,22,19
254,2023-06-27 13:38:08+00:00,18.6,86,16.3,19.8,100.0,23.2,985.5,22,19
256,2023-06-27 13:58:19+00:00,18.6,86,16.3,19.8,100.0,23.2,985.5,22,19
265,2023-06-27 14:38:39+00:00,20.0,80,16.5,21.6,100.0,0.2,984.4,22,19
260,2023-06-27 15:18:59+00:00,20.0,80,16.5,21.6,,0.2,984.4,22,17
261,2023-06-27 15:13:55+00:00,20.0,80,16.5,21.6,100.0,0.2,984.4,22,17
262,2023-06-27 14:48:44+00:00,20.0,80,16.5,21.6,100.0,0.2,984.4,22,19
263,2023-06-27 14:58:49+00:00,20.0,80,16.5,21.6,100.0,0.2,984.4,22,19
264,2023-06-27 15:10:47+00:00,20.0,80,16.5,21.6,100.0,0.2,984.4,22,18
268,2023-06-27 16:09:33+00:00,19.5,84,16.7,21.3,100.0,1.2,984.5,22,17
267,2023-06-27 16:29:43+00:00,19.5,84,16.7,21.3,100.0,1.2,984.5,22,17
266,2023-06-27 16:19:38+00:00,,84,16.7,21.3,100.0,1.2,984.5,22,17
269,2023-06-27 16:39:48+00:00,17.9,81,14.5,17.8,100.0,0.4,984.8,22,16
270,2023-06-27 16:53:15+00:00,17.9,81,14.5,17.8,100.0,0.4,984.8,22,15
271,2023-06-27 16:57:36+00:00,17.9,81,14.5,17.8,100.0,0.4,984.8,22,14
272,2023-06-27 16:59:59+00:00,17.9,81,14.5,17.8,100.0,,984.8,22,14
273,2023-06-27 17:10:05+00:00,17.9,81,14.5,17.8,100.0,0.4,984.8,22,14
274,2023-06-27 17:15:48+00:00,17.9,81,14.5,17.8,100.0,0.4,984.8,22,12
275,2023-06-27 17:20:11+00:00,17.9,81,14.5,17.8,100.0,0.4,984.8,22,12
281,2023-06-27 17:30:16+00:00,18.0,81,14.6,19.0,100.0,1.2,984.3,22,12
282,2023-06-27 17:58:22+00:00,18.0,81,14.6,19.0,100.0,1.2,984.3,22,11
280,2023-06-27 17:40:21+00:00,18.0,81,14.6,19.0,100.0,1.2,984.3,22,12
283,2023-06-27 17:50:26+00:00,18.0,81,14.6,19.0,100.0,1.2,984.3,22,12
278,2023-06-27 18:12:01+00:00,18.0,81,14.6,19.0,,1.2,984.3,22,9
277,2023-06-27 18:17:57+00:00,18.0,81,14.6,19.0,100.0,1.2,984.3,22,10
276,2023-06-27 18:23:28+00:00,18.0,81,14.6,19.0,100.0,1.2,984.3,22,11
279,2023-06-27 18:00:32+00:00,,81,14.6,19.0,100.0,1.2,984.3,22,11
290,2023-06-27 19:01:12+00:00,17.4,86,15.0,18.9,100.0,,984.4,22,9
289,2023-06-27 18:51:05+00:00,17.4,86,15.0,18.9,100.0,1.1,984.4,22,8
292,2023-06-27 19:21:23+00:00,17.4,86,15.0,18.9,100.0,1.1,984.4,22,10
288,2023-06-27 18:49:27+00:00,17.4,86,15.0,18.9,100.0,,984.4,22,7
